Z158;SERBIA
Z157;SERBIA E MONTENEGRO
Z155;SLOVACCHIA
Z150;SLOVENIA
Z131;SPAGNA
Z106;STATO CITTA' DEL VATICANO
Z132;SVEZIA
Z133;SVIZZERA
Z147;TAGIKISTAN
Z151;TURKMENISTAN
Z138;UCRAINA
Z134;UNGHERIA
Z135;UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE
Z143;UZBEKISTAN
Z700;AUSTRALIA
Z701;CAROLINE (ISOLE)=STATI FEDERATI DI MICRONESIA
Z702;CHRISTMAS (ISOLA)
Z704;FIGI
Z705;GILBERT E ELLICE (ISOLE)
Z706;GUAM (ISOLA)
Z707;IRIAN OCCIDENTALE
Z721;ISOLE CILENE (PASQUA E SALA Y GOMEZ)
Z703;ISOLE COOK
Z711;ISOLE MARSHALL
Z722;ISOLE PITCAIRN
Z724;ISOLE SALOMONE
Z729;ISOLE WALLIS E FUTUNA
Z731;KIRIBATI
Z708;MACQUARIE (ISOLE)
Z709;MARCUS (ISOLE)
Z710;MARIANNE (ISOLE)
Z712;MIDWAY (ISOLE)
Z713;NAURU
Z714;NIUE
Z715;NORFOLK (ISOLE E ISOLE DEL MAR DEI CORALLI)
Z716;NUOVA CALEDONIA
Z718;NUOVA GUINEA
Z719;NUOVA ZELANDA
Z717;NUOVE EBRIDI (ISOLE CONDOMINIO FRANCO-INGLESE)
Z734;PALAU
Z730;PAPUA NUOVA GUINEA
Z720;PAPUASIA
Z723;POLINESIA FRANCESE (ISOLE)
Z726;SAMOA
Z725;SAMOA AMERICANE (ISOLE)
Z735;STATI FEDERATI DI MICRONESIA
Z727;TOKELAU O ISOLE DELL'UNIONE
Z728;TONGA
Z732;TUVALU
Z733;VANUATU
Z900;DIPENDENZE AUSTRALIANE
Z901;DIPENDENZE BRITANNICHE
Z902;DIPENDENZE FRANCESI
Z903;DIPENDENZE NEOZELANDESI
Z904;DIPENDENZE NORVEGESI ANTARTICHE
Z905;DIPENDENZE STATUNITENSI
Z906;DIPENDENZE SUDAFRICANE
Z800;DIPENDENZE CANADESI
Z801;DIPENDENZE NORVEGESI ARTICHE
Z802;DIPENDENZE RUSSE
